Name,index,Random Forest Feature Importance
crc_rate,14,0.16731267738582387
reset_rate,5,0.11649714694715506
setpoint,3,0.11070914265064184
function,1,0.10901300798763107
cycle_time,7,0.10149650934009996
length,2,0.09939282795203395
deadband,6,0.0910987124036414
gain,4,0.08240507514241532
rate,8,0.03836181190385868
system_mode,9,0.027569998353879407
pump,11,0.02462594988182635
control_scheme,10,0.012482870616089993
solenoid,12,0.011218489559407067
pressure_measurement,13,0.005028423024536694
address,0,0.002787356850959443
